date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:42	60903/60903	---M--	200	added ('OK')	image/jpeg	etag:%225a685f6a-ede7%22	https://neuethemes.net/preview/html/gridus/html/assets/custom/2.2.2/images/layouts/michael/userpics/userpic05.jpg	/home/richard/websites/Resumen%20curricular4/neuethemes.net/preview/html/gridus/html/assets/custom/2.2.2/images/layouts/michael/userpics/userpic05.jpg	(from https://neuethemes.net/preview/html/gridus/html/layouts/michael/index.html)
15:45:42	85578/85578	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	/home/richard/websites/Resumen%20curricular4/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from https://neuethemes.net/preview/html/gridus/html/layouts/michael/index.html)
15:45:42	66/66	---M--	302	error ('Found')	text/plain	date:Wed,%2025%20Apr%202018%2019:49:18%20GMT	https://npmcdn.com/imagesloaded@4.1/imagesloaded.pkgd.min.js	/home/richard/websites/Resumen%20curricular4/npmcdn.com/imagesloaded@4.1/imagesloaded.pkgd.min.27.delayed	(from https://neuethemes.net/preview/html/gridus/html/layouts/michael/index.html)
15:45:43	5594/5594	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215da-160b7cae298%22	https://npmcdn.com/imagesloaded@4.1.4/imagesloaded.pkgd.min.js	/home/richard/websites/Resumen%20curricular4/npmcdn.com/imagesloaded@4.1.4/imagesloaded.pkgd.min.js	(from https://neuethemes.net/preview/html/gridus/html/layouts/michael/index.html)
15:45:43	68/68	---M--	302	error ('Found')	text/plain	date:Wed,%2025%20Apr%202018%2019:49:19%20GMT	https://unpkg.com/isotope-layout@3.0/dist/isotope.pkgd.min.js	/home/richard/websites/Resumen%20curricular4/unpkg.com/isotope-layout@3.0/dist/isotope.pkgd.min.29.delayed	(from https://neuethemes.net/preview/html/gridus/html/layouts/michael/index.html)
15:45:44	35445/35445	---MCZ	200	added ('OK')	application/javascript	etag:W/%228a75-7438674ba0%22	https://unpkg.com/isotope-layout@3.0.6/dist/isotope.pkgd.min.js	/home/richard/websites/Resumen%20curricular4/unpkg.com/isotope-layout@3.0.6/dist/isotope.pkgd.min.js	(from https://neuethemes.net/preview/html/gridus/html/layouts/michael/index.html)
15:45:44	35051/35051	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2014:47:00%20GMT	https://cdnjs.cloudflare.com/ajax/libs/velocity/1.2.3/velocity.min.js	/home/richard/websites/Resumen%20curricular4/cdnjs.cloudflare.com/ajax/libs/velocity/1.2.3/velocity.min.js	(from https://neuethemes.net/preview/html/gridus/html/layouts/michael/index.html)
15:45:44	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a670bca-4ef8%22	https://neuethemes.net/preview/html/gridus/html/assets/vendor/mfp/js/jquery.magnific-popup.min.js?v=1.1.0	/home/richard/websites/Resumen%20curricular4/neuethemes.net/preview/html/gridus/html/assets/vendor/mfp/js/jquery.magnific-popup.min9f1e.js	(from https://neuethemes.net/preview/html/gridus/html/layouts/michael/index.html)
15:45:44	21693/21693	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a670bca-54bd%22	https://neuethemes.net/preview/html/gridus/html/assets/vendor/progressbar/progressbar.min.js?v=1.0.1	/home/richard/websites/Resumen%20curricular4/neuethemes.net/preview/html/gridus/html/assets/vendor/progressbar/progressbar.minf700.js	(from https://neuethemes.net/preview/html/gridus/html/layouts/michael/index.html)
15:45:45	1084/1084	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a670bca-43c%22	https://neuethemes.net/preview/html/gridus/html/assets/vendor/anicounter/jquery.counterup.min.js?v=1.0	/home/richard/websites/Resumen%20curricular4/neuethemes.net/preview/html/gridus/html/assets/vendor/anicounter/jquery.counterup.minc619.js	(from https://neuethemes.net/preview/html/gridus/html/layouts/michael/index.html)
15:45:45	8271/8271	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a670bca-204f%22	https://neuethemes.net/preview/html/gridus/html/assets/vendor/pjax/jquery.pjax.min.js?v=1.9.6	/home/richard/websites/Resumen%20curricular4/neuethemes.net/preview/html/gridus/html/assets/vendor/pjax/jquery.pjax.min0177.js	(from https://neuethemes.net/preview/html/gridus/html/layouts/michael/index.html)
15:45:45	42792/42792	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a670bca-a728%22	https://neuethemes.net/preview/html/gridus/html/assets/vendor/owl-carousel/owl.carousel.min.js?v=2.1.0	/home/richard/websites/Resumen%20curricular4/neuethemes.net/preview/html/gridus/html/assets/vendor/owl-carousel/owl.carousel.minf066.js	(from https://neuethemes.net/preview/html/gridus/html/layouts/michael/index.html)
15:45:45	4473/4473	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a670bca-1179%22	https://neuethemes.net/preview/html/gridus/html/assets/vendor/headlines/headlines.min.js?v=1.0	/home/richard/websites/Resumen%20curricular4/neuethemes.net/preview/html/gridus/html/assets/vendor/headlines/headlines.minc619.js	(from https://neuethemes.net/preview/html/gridus/html/layouts/michael/index.html)
